customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
81814 - Komet Medical USA;M191_10 Sonstige;Nov 2026;11;0.0;89078.95;0.7;62355.26;101898.91;121031.53;187200.7;103504.66;77466.61;69719.95;85213.27;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M161_10 Diamant;May 2026;5;8466.0;15039.69;0.7;10527.78;45086.25;80120.86;64911.86;42049.79;36619.19;32957.27;40281.11;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M204_10 Stahl;Sep 2026;9;0.0;0.0;0.0;0.0;66779.0;92840.2;59207.97;63807.59;49379.23;44441.3;54317.15;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M181_14 Sonstige;Dec 2026;12;0.0;0.0;0.0;0.0;0.0;0.0;73783.65;61419.36;43358.07;39022.26;47693.88;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71423 - Japan;141_11 H34;May 2026;5;0.0;0.0;0.0;0.0;65643.12;94652.14;18922.67;59739.31;52024.17;46821.75;57226.59;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M209_10 Sonstiges;Oct 2026;10;0.0;29280.0;0.7;20496.0;122046.32;195434.35;473161.14;202109.0;153145.89;137831.3;168460.47;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81210 - Brasilien;M208_10 Stahl;Jul 2026;7;0.0;50000.0;0.7;35000.0;87500.0;87500.0;73666.2;57759.93;45675.24;41107.71;50242.76;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M203_10 Stahl;Oct 2026;10;0.0;0.0;0.0;0.0;172974.6;173120.89;189281.89;173525.43;131487.0;118338.3;144635.7;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88418 - Indien;n/a;Dec 2026;12;0.0;0.0;0.0;0.0;230158.41;222640.96;290623.34;256514.4;181082.46;162974.22;199190.71;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88418 - Indien;n/a;Jul 2026;7;0.0;0.0;0.0;0.0;289526.95;256673.64;291027.28;272128.86;215193.3;193673.97;236712.63;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M191_10 Sonstige;May 2026;5;82721.08;43418.25;0.7;30392.77;136058.27;194363.54;259004.48;175895.14;153178.85;137860.96;168496.73;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;242_10 für Oberflächen;Jul 2026;7;0.0;131097.6;0.7;91768.32;86144.77;132412.26;139163.36;115380.78;91240.49;82116.44;100364.54;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;n/a;Sep 2026;9;0.0;0.0;0.0;0.0;16784.34;16784.34;124467.83;74290.02;57491.34;51742.2;63240.47;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M171_10 Shannon Recta;Aug 2026;8;0.0;42660.0;0.7;29862.0;52720.55;81644.13;66872.64;53545.48;41048.79;36943.91;45153.67;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;323_11 Biokeramische Sealer;Nov 2026;11;0.0;0.0;0.0;0.0;90144.87;107967.02;84464.34;90331.79;67607.56;60846.8;74368.31;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M144_10 Fixation Screws;Jun 2026;6;0.0;1538.4;0.7;1076.88;77177.02;73487.2;61290.0;42313.66;33496.0;30146.4;36845.6;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;111_10 Standard;Jun 2026;6;0.0;3915.79;0.7;2741.05;89800.01;88872.31;94322.75;61819.51;48937.06;44043.35;53830.76;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
